"1JTREC";"1ª TURMA RECURSAL"
"SECFED1";"COMITÊ GESTOR DE PRECATÓRIOS(SECRETARIA DO JUIZO FEDERAL 1ª REGIÃO)"
"SECTRTD";"COMITÊ GESTOR DE PRECATÓRIOS(SECRETARIA DO JUIZO TRT 10ª REGIÃO)"
"SGB01";"SEC. DO GAB. DA DESA. ANGELA PRUDENTE"
"SGB02";"SEC. DO GAB. DO DES. RONALDO EURIPEDES"
"SGB03";"SEC. DO GAB. DO DES. AMADO CILTON"
"SGB04";"SEC. DO GAB. DO DES. HELVÉCIO DE BRITO MAIA NETO"
"SGB05";"SEC. DO GAB. DO DES. JOAO RIGO GUIMARAES"
"SGB06";"SEC. DO GAB. DA DESA. MAYSA VENDRAMINI ROSAL"
"SGB07";"SEC. DO GAB. DO DES. MOURA FILHO"
"SGB08";"SEC. DO GAB. DO DES. LUIZ GADOTTI"
"SGB09";"SEC. DO GAB. DA DESA. JACQUELINE ADORNO"
"SGB10";"SEC. DO GAB. DA DESA. ETELVINA MARIA SAMPAIO FELIPE"
"SGB11";"SEC. DO GAB. DO DES. MARCO VILLAS BOAS"
"SGB12";"SEC. DO GAB. DO DES. EURÍPEDES LAMOUNIER"
"SRCON";"SEC. DE RECURSOS CONSTITUCIONAIS"
"STCR1";"SEC. 1ª TURMA DA 1ª CÂMARA CRIMINAL"
"STCR10";"SEC. 5ª TURMA DA 2ª CÂMARA CRIMINAL"
"STCR2";"SEC. 2ª TURMA DA 1ª CÂMARA CRIMINAL"
"STCR3";"SEC. 3ª TURMA DA 1ª CÂMARA CRIMINAL"
"STCR4";"SEC. 4ª TURMA DA 1ª CÂMARA CRIMINAL"
"STCR5";"SEC. 5ª TURMA DA 1ª CÂMARA CRIMINAL"
"STCR6";"SEC. 1ª TURMA DA 2ª CÂMARA CRIMINAL"
"STCR7";"SEC. 2ª TURMA DA 2ª CÂMARA CRIMINAL"
"STCR8";"SEC. 3ª TURMA DA 2ª CÂMARA CRIMINAL"
"STCR9";"SEC. 4ª TURMA DA 2ª CÂMARA CRIMINAL"
"STU01";"SEC. 1ª TURMA DA 1ª CÂMARA CÍVEL"
"STU02";"SEC. 2ª TURMA DA 1ª CÂMARA CÍVEL"
"STU03";"SEC. 3ª TURMA DA 1ª CÂMARA CÍVEL"
"STU04";"SEC. 4ª TURMA DA 1ª CÂMARA CÍVEL"
"STU05";"SEC. 5ª TURMA DA 1ª CÂMARA CÍVEL"
"STU06";"SEC. 1ª TURMA DA 2ª CÂMARA CÍVEL"
"STU07";"SEC. 2ª TURMA DA 2ª CÂMARA CÍVEL"
"STU08";"SEC. 3ª TURMA DA 2ª CÂMARA CÍVEL"
"STU09";"SEC. 4ª TURMA DA 2ª CÂMARA CÍVEL"
"STU10";"SEC. 5ª TURMA DA 2ª CÂMARA CÍVEL"
"SVICE";"SECRETARIA DA VICE PRESIDÊNCIA"
"TJTO";"2ª INSTÂNCIA DO TRIBUNAL DE JUSTIÇA DO TOCANTINS"
"TJTODIST";"DISTRIBUIÇÃO TJTO"
"TOALM1ECIV";"1ª Escrivania Cível de Almas"
"TOALM1ECIVJ";"Juízo da 1ª Escrivania Cível de Almas"
"TOALM1ECRI";"1ª Escrivania Criminal de Almas"
"TOALM1ECRIJ";"Juízo da 1ª Escrivania Criminal de Almas"
"TOALMCEMAN";"CENTRAL DE MANDADOS - ALMAS"
"TOALMCONT";"CONTADORIA - ALMAS"
"TOALMDIFO";"DIRETORIA FORO - ALMAS"
"TOALMPLANT";"PLANTÃO DE 1ª INSTÂNCIA - ALMAS"
"TOALMPROT";"PROTOCOLO/DISTRIBUIÇÃO - ALMAS"
"TOALV1ECIV";"1ª Escrivania Cível de Alvorada"
"TOALV1ECIVJ";"Juízo da 1ª Escrivania Cível de Alvorada"
"TOALV1ECRI";"1ª Escrivania Criminal de Alvorada"
"TOALV1ECRIJ";"Juízo da 1ª Escrivania Criminal de Alvorada"
"TOALVCEMAN";"CENTRAL DE MANDADOS - ALVORADA"
"TOALVCONT";"CONTADORIA - ALVORADA"
"TOALVDIFO";"DIRETORIA FORO - ALVORADA"
"TOALVPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ALVORADA"
"TOALVPROT";"PROTOCOLO/DISTRIBUIÇÃO - ALVORADA"
"TOANA1ECIV";"1ª Escrivania Cível de Ananás"
"TOANA1ECIVJ";"Juízo da 1ª Escrivania Cível de Ananás"
"TOANA1ECRI";"1ª Escrivania Criminal de Ananás"
"TOANA1ECRIJ";"Juízo da 1ª Escrivania Criminal de Ananás"
"TOANACEMAN";"CENTRAL DE MANDADOS - ANANÁS"
"TOANACONT";"CONTADORIA - ANANÁS"
"TOANADIFO";"DIRETORIA FORO - ANANÁS"
"TOANAPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ANANÁS"
"TOANAPROT";"PROTOCOLO/DISTRIBUIÇÃO - ANANÁS"
"TOARA1ECIV";"1ª Vara Cível de Araguaína"
"TOARA1ECIVJ";"Juízo da 1ª Vara Cível de Araguaína"
"TOARA1ECRI";"1ª Vara Criminal de Araguaína"
"TOARA1ECRIJ";"Juízo da 1ª Vara Criminal de Araguaína"
"TOARA1EFAM";"1ª Vara de Família e Sucessões de Araguaína"
"TOARA1EFAMJ";"Juizo da 1ª Vara de Família e Sucessões de Araguaína"
"TOARA1EFAZ";"1ª Vara da Fazenda e Registros Públicos de Araguaína"
"TOARA1EFAZJ";"Juizo da 1ª Vara da Fazenda e Registros Públicos de Araguaína"
"TOARA2ECIV";"2ª Vara Cível de Araguaína"
"TOARA2ECIVJ";"Juízo da 2ª Vara Cível de Araguaína"
"TOARA2ECRI";"2ª Vara Criminal e Execuções Penais de Araguaína"
"TOARA2ECRIJ";"Juízo da 2ª Vara Criminal e Execuções Penais de Araguaína"
"TOARA2EFAM";"2ª Vara de Família e Sucessões de Araguaína"
"TOARA2EFAMJ";"Juizo da 2ª Vara de Família e Sucessões de Araguaína"
"TOARA2EFAZ";"2ª Vara da Fazenda e Registros Públicos de Araguaína"
"TOARA2EFAZJ";"Juizo da 2ª Vara da Fazenda e Registros Públicos de Araguaína"
"TOARA3ECIV";"3ª Vara Cível de Araguaína"
"TOARA3ECIVJ";"Juizo da 3ª Vara Cível de Araguaína"
"TOARACEDIFO";"DIRETORIA FORO - ARAGUACEMA"
"TOARACEJUS";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS DE ARAGUAINA"
"TOARACEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - ARAGUAINA"
"TOARACEMAN";"CENTRAL DE MANDADOS - ARAGUAÍNA"
"TOARACEPEMA";"CEPEMA - ARAGUAÍNA"
"TOARACONT";"CONTADORIA - ARAGUAÍNA"
"TOARADIFO";"DIRETORIA FORO - ARAGUAÍNA"
"TOARAEINFJ";"Juizado Especial da Infância e Juventude de Araguaína"
"TOARAEINFJJ";"Juizo do Juizado Especial da Infância e Juventude de Araguaína"
"TOARAEPREC";"Vara de Precatórias de Araguaína"
"TOARAEPRECJ";"Juizo da Vara de Precatórias de Araguaína"
"TOARAEVDOM";"Vara Especializada no Combate à Violência Contra a Mulher de Araguaína"
"TOARAEVDOMJ";"Juizo da Especializada no Combate à Violência Contra a Mulher de Araguaína"
"TOARAEXECF";"CENTRAL DE EXECUÇÕES FISCAIS - ARAGUAINA"
"TOARAEXMAN";"CENTRAL DE MANDADOS DE EXECUÇÃO - ARAGUAINA"
"TOARAGG";"GGEM - NÚCLEO ARAGUAÍNA"
"TOARAJECIV";"Juizado Especial Cível de Araguaína"
"TOARAJECIVJ";"Juizo do Juizado Especial Cível de Araguaína"
"TOARAJECRI";"Juizado Especial Criminal de Araguaína"
"TOARAJECRIJ";"Juizo do Juizado Especial Criminal de Araguaína"
"TOARAJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - ARAGUAINA"
"TOARAMJI";"EQUIPE MULTIDISCIPLINAR DO JUIZADO DA INFÂNCIA - ARAGUAINA"
"TOARAMVIO";"EQUIPE MULTIDISCIPLINAR - ARAGUAINA"
"TOARANAT";"NDS - ARAGUAÍNA"
"TOARAPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ARAGUAÍNA"
"TOARAPROT";"PROTOCOLO/DISTRIBUIÇÃO - ARAGUAÍNA"
"TOARAREDE";"ESCRIVANIA EM REDE - ARAGUAÍNA"
"TOARASECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - ARAGUAINA"
"TOARE1ECIV";"1ª Escrivania Cível de Araguacema"
"TOARE1ECIVJ";"Juízo da 1ª Escrivania Cível de Araguacema"
"TOARE1ECRI";"1ª Escrivania Criminal de Araguacema"
"TOARE1ECRIJ";"Juízo da 1ª Escrivania Criminal de Araguacema"
"TOARECEMAN";"CENTRAL DE MANDADOS - ARAGUACEMA"
"TOARECONT";"CONTADORIA - ARAGUACEMA"
"TOAREPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ARAGUACEMA"
"TOAREPROT";"PROTOCOLO/DISTRIBUIÇÃO - ARAGUACEMA"
"TOARI1ECIV";"1ª Vara Cível de Araguatins"
"TOARI1ECIVJ";"Juízo da 1ª Vara Cível de Araguatins"
"TOARI1ECRI";"1ª Vara Criminal de Araguatins"
"TOARI1ECRIJ";"Juízo da 1ª Vara Criminal de Araguatins"
"TOARI2ECIVJ";"Juizo da Escrivania de Família, Sucessões, Infância e Juventude de Araguatins"
"TOARI2ECRV";"Escrivania de Família, Sucessões, Infância e Juventude de Araguatins"
"TOARICEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - ARAGUATINS"
"TOARICEMAN";"CENTRAL DE MANDADOS - ARAGUATINS"
"TOARICONT";"CONTADORIA - ARAGUATINS"
"TOARIDIFO";"DIRETORIA FORO - ARAGUATINS"
"TOARIJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC) - ARAGUATINS"
"TOARIPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ARAGUATINS"
"TOARIPROT";"PROTOCOLO/DISTRIBUIÇÃO - ARAGUATINS"
"TOARISECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - ARAGUATINS"
"TOARO1ECIV";"1ª Escrivania Cível de Arapoema"
"TOARO1ECIVJ";"Juízo da 1ª Escrivania Cível de Arapoema"
"TOARO1ECRI";"1ª Escrivania Criminal de Arapoema"
"TOARO1ECRIJ";"Juízo da 1ª Escrivania Criminal de Arapoema"
"TOAROCEMAN";"CENTRAL DE MANDADOS - ARAPOEMA"
"TOAROCONT";"CONTADORIA - ARAPOEMA"
"TOARODIFO";"DIRETORIA FORO - ARAPOEMA"
"TOAROPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ARAPOEMA"
"TOAROPROT";"PROTOCOLO/DISTRIBUIÇÃO - ARAPOEMA"
"TOARR1ECIV";"1ª Vara Cível de Arraias"
"TOARR1ECIVJ";"Juízo da 1ª Vara Cível de Arraias"
"TOARR1ECRI";"1ª Vara Criminal de Arraias"
"TOARR1ECRIJ";"Juízo da 1ª Vara Criminal de Arraias"
"TOARRCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - ARRAIAS"
"TOARRCEMAN";"CENTRAL DE MANDADOS - ARRAIAS"
"TOARRCONT";"CONTADORIA - ARRAIAS"
"TOARRDIFO";"DIRETORIA FORO - ARRAIAS"
"TOARRJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC) - ARRAIAS"
"TOARRPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ARRAIAS"
"TOARRPROT";"PROTOCOLO/DISTRIBUIÇÃO - ARRAIAS"
"TOARRSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - ARRAIAS"
"TOARU1ECIV";"1ª Escrivania Cível de Araguaçu"
"TOARU1ECIVJ";"Juízo da 1ª Escrivania Cível de Araguaçu"
"TOARU1ECRI";"1ª Escrivania Criminal de Araguaçu"
"TOARU1ECRIJ";"Juízo da 1ª Escrivania Criminal de Araguaçu"
"TOARUCEMAN";"CENTRAL DE MANDADOS - ARAGUAÇU"
"TOARUCONT";"CONTADORIA - ARAGUAÇU"
"TOARUDIFO";"DIRETORIA FORO - ARAGUAÇU"
