"1JTREC";"1ª TURMA RECURSAL"
"TOFIGPROT";"PROTOCOLO/DISTRIBUIÇÃO - FIGUEIROPOLIS"
"TOFIL1ECIV";"1ª Escrivania Cível de Filadélfia"
"TOFIL1ECIVJ";"Juízo da 1ª Escrivania Cível de Filadélfia"
"TOFIL1ECRI";"1ª Escrivania Criminal de Filadélfia"
"TOFIL1ECRIJ";"Juízo da 1ª Escrivania Criminal de Filadélfia"
"TOFILCEMAN";"CENTRAL DE MANDADOS - FILADÉLFIA"
"TOFILCONT";"CONTADORIA - FILADÉLFIA"
"TOFILDIFO";"DIRETORIA FORO - FILADÉLFIA"
"TOFILPLAN";"PLANTÃO DE 1ª INSTÂNCIA - FILADÉLFIA"
"TOFILPROT";"PROTOCOLO/DISTRIBUIÇÃO - FILADÉLFIA"
"TOFOR1ECIV";"1ª Escrivania Cível de Formoso do Araguaia"
"TOFOR1ECIVJ";"Juízo da 1ª Escrivania Cível de Formoso do Araguaia"
"TOFOR1ECRI";"1ª Escrivania Criminal de Formoso do Araguaia"
"TOFOR1ECRIJ";"Juízo da 1ª Escrivania Criminal de Formoso do Araguaia"
"TOFOR2ECIV";"2ª Escrivania Cível de Formoso do Araguaia"
"TOFOR2ECIVJ";"Juízo da 2ª Escrivania Cível de Formoso do Araguaia"
"TOFORCEMAN";"CENTRAL DE MANDADOS - FORMOSO DO ARAGUAIA"
"TOFORCONT";"CONTADORIA - FORMOSO DO ARAGUAIA"
"TOFORDIFO";"DIRETORIA FORO - FORMOSO DO ARAGUAIA"
"TOFORPLAN";"PLANTÃO DE 1ª INSTÂNCIA - FORMOSO DO ARAGUAIA"
"TOFORPROT";"PROTOCOLO/DISTRIBUIÇÃO - FORMOSO DO ARAGUAIA"
"TOGOI1ECIV";"1ª Escrivania Cível de Goiatins"
"TOGOI1ECIVJ";"Juízo da 1ª Escrivania Cível de Goiatins"
"TOGOI1ECRI";"1ª Escrivania Criminal de Goiatins"
"TOGOI1ECRIJ";"Juízo da 1ª Escrivania Criminal de Goiatins"
"TOGOICEMAN";"CENTRAL DE MANDADOS - GOIATINS"
"TOGOICONT";"CONTADORIA - GOIATINS"
"TOGOIDIFO";"DIRETORIA FORO - GOIATINS"
"TOGOIPLAN";"PLANTÃO DE 1ª INSTÂNCIA - GOIATINS"
"TOGOIPROT";"PROTOCOLO/DISTRIBUIÇÃO - GOIATINS"
"TOGUA1ECIV";"1ª Vara Cível de Guaraí"
"TOGUA1ECIVJ";"Juízo da 1ª Vara Cível de Guaraí"
"TOGUA1ECRI";"1ª Vara Criminal de Guaraí"
"TOGUA1ECRIJ";"Juízo da 1ª Vara Criminal de Guaraí"
"TOGUA2ECIV";"2ª Vara Cível, Família e Sucessões Inf. e Juvent. de Guaraí"
"TOGUA2ECIVJ";"Juizo da 2ª Vara Cível, Família e Sucessões Inf. e Juvent. de Guaraí"
"TOGUACEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - GUARAÍ"
"TOGUACEMAN";"CENTRAL DE MANDADOS - GUARAÍ"
"TOGUACONT";"CONTADORIA - GUARAÍ"
"TOGUADIFO";"DIRETORIA FORO - GUARAÍ"
"TOGUAJECCR";"Juizado Especial Cível de Guaraí"
"TOGUAJECCRJ";"Juízo do Juizado Especial Cível de Guaraí"
"TOGUAJECRC";"Juizado Especial Criminal de Guaraí"
"TOGUAJECRCJ";"Juízo do Juizado Especial Criminal de Guaraí"
"TOGUAJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC) - GUARAÍ"
"TOGUAPLAN";"PLANTÃO DE 1ª INSTÂNCIA - GUARAÍ"
"TOGUAPROT";"PROTOCOLO/DISTRIBUIÇÃO - GUARAÍ"
"TOGUASECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - GUARAÍ"
"TOGUR1ECIV";"1ª Vara Cível de Gurupi"
"TOGUR1ECIVJ";"Juízo da 1ª Vara Cível de Gurupi"
"TOGUR1ECRI";"1ª Vara Criminal de Gurupi"
"TOGUR1ECRIJ";"Juízo da 1ª Vara Criminal de Gurupi"
"TOGUR1EFAM";"1ª Vara de Família e Sucessões de Gurupi"
"TOGUR1EFAMJ";"Juizo da 1ª Vara de Família e Sucessões de Gurupi"
"TOGUR1EFAZ";"1ª Vara da Fazenda e Registros Públicos de Gurupi"
"TOGUR1EFAZJ";"Juizo da 1ª Vara da Fazenda e Registros Públicos de Gurupi"
"TOGUR2ECIV";"2ª Vara Cível de Gurupi"
"TOGUR2ECIVJ";"Juízo da 2ª Vara Cível de Gurupi"
"TOGUR2ECRI";"2ª Vara Criminal de Gurupi"
"TOGUR2ECRIJ";"Juízo da 2ª Vara Criminal de Gurupi"
"TOGUR3ECIV";"3ª Vara Cível de Gurupi"
"TOGUR3ECIVJ";"Juizo da 3ª Vara Cível de Gurupi"
"TOGUR3ECRI";"Vara de Execuções Penais de Gurupi"
"TOGUR3ECRIJ";"Juízo da Vara de Execuções Penais de Gurupi"
"TOGURANEX";"CENTRAL DE EXECUÇÕES FISCAIS - GURUPI"
"TOGURCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - GURUPI"
"TOGURCEMAN";"CENTRAL DE MANDADOS - GURUPI"
"TOGURCONT";"CONTADORIA - GURUPI"
"TOGURCPMA";"CEPEMA - GURUPI"
"TOGURDIFO";"DIRETORIA FORO - GURUPI"
"TOGUREINFJ";"Juizado Especial da Infância e Juventude de Gurupi"
"TOGUREINFJJ";"Juizo do Juizado Especial da Infância e Juventude de Gurupi"
"TOGUREPREC";"Vara de Precatórias de Gurupi"
"TOGUREPRECJ";"Juizo da Vara de Precatórias de Gurupi"
"TOGUREVDOM";"Vara Especializada no Combate à Violência Contra a Mulher de Gurupi"
"TOGUREVDOMJ";"Juizo da Especializada no Combate à Violência Contra a Mulher de Gurupi"
"TOGURGG";"GGEM - NÚCLEO GURUPI"
"TOGURINFMULT";"EQUIPE MULTIDISCIPLINAR DA INFÂNCIA - GURUPI"
"TOGURJECIV";"Juizado Especial Cível de Gurupi"
"TOGURJECIVJ";"Juizo do Juizado Especial Cível de Gurupi"
"TOGURJECRI";"Juizado Especial Criminal de Gurupi"
"TOGURJECRIJ";"Juizo do Juizado Especial Criminal de Gurupi"
"TOGURJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - GURUPI"
"TOGURMULT";"EQUIPE MULTIDISCIPLINAR - GURUPI"
"TOGURPLAN";"PLANTÃO DE 1ª INSTÂNCIA - GURUPI"
"TOGURPROT";"PROTOCOLO/DISTRIBUIÇÃO - GURUPI"
"TOGURSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - GURUPI"
"TOITA1ECIV";"1ª Escrivania Cível de Itacajá"
"TOITA1ECIVJ";"Juízo da 1ª Escrivania Cível de Itacajá"
"TOITA1ECRI";"1ª Escrivania Criminal de Itacajá"
"TOITA1ECRIJ";"Juízo da 1ª Escrivania Criminal de Itacajá"
"TOITACEMAN";"CENTRAL DE MANDADOS - ITACAJÁ"
"TOITACONT";"CONTADORIA - ITACAJÁ"
"TOITADIFO";"DIRETORIA FORO - ITACAJÁ"
"TOITAPLANT";"PLANTÃO DE 1ª INSTÂNCIA - ITACAJÁ"
"TOITAPROT";"PROTOCOLO/DISTRIBUIÇÃO - ITACAJÁ"
"TOITG1ECIV";"1ª Escrivania Cível de Itaguatins"
"TOITG1ECIVJ";"Juízo da 1ª Escrivania Cível de Itaguatins"
"TOITG1ECRI";"1ª Escrivania Criminal de Itaguatins"
"TOITG1ECRIJ";"Juízo da 1ª Escrivania Criminal de Itaguatins"
"TOITGCEMAN";"CENTRAL DE MANDADOS - ITAGUATINS"
"TOITGCONT";"CONTADORIA - ITAGUATINS"
"TOITGDIFO";"DIRETORIA FORO - ITAGUATINS"
"TOITGPLAN";"PLANTÃO DE 1ª INSTÂNCIA - ITAGUATINS"
"TOITGPROT";"PROTOCOLO/DISTRIBUIÇÃO - ITAGUATINS"
"TOJUNMEDI";"JUNTA MÉDICA DO FORUM DE PALMAS"
"TOMIR1ECIV";"1ª Vara Cível de Miracema do Tocantins"
"TOMIR1ECIVJ";"Juízo da 1ª Vara Cível de Miracema do Tocantins"
"TOMIR1ECRI";"1ª Vara Criminal de Miracema do Tocantins"
"TOMIR1ECRIJ";"Juízo da 1ª Vara Criminal de Miracema do Tocantins"
"TOMIR1EFAM";"Escrivania de Família, Sucessões, Inf. e Juventude de Miracema do Tocantins"
"TOMIR1EFAMJ";"Juízo da Escrivania de Família, Sucessões, Inf. e Juventude de Miracema do Tocan"
"TOMIRCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - MIRACEMA DO TOCANTINS"
"TOMIRCEMAN";"CENTRAL DE MANDADOS - MIRACEMA DO TOCANTINS"
"TOMIRCONT";"CONTADORIA - MIRACEMA DO TOCANTINS"
"TOMIRCPMA";"CEPEMA - MIRACEMA"
"TOMIRDIFO";"DIRETORIA FORO - MIRACEMA DO TOCANTINS"
"TOMIRJECRC";"Juizado Especial Criminal de Miracema do Tocantins"
"TOMIRJECRCJ";"Juízo do Juizado Especial Criminal de Miracema do Tocantins"
"TOMIRJUCCR";"Juizado Especial Cível de Miracema do Tocantins"
"TOMIRJUCCRJ";"Juízo do Juizado Especial Cível de Miracema do Tocantins"
"TOMIRJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - MIRACEMA DO TOCANTINS"
"TOMIRPLAN";"PLANTÃO DE 1ª INSTÂNCIA - MIRACEMA DO TOCANTINS"
"TOMIRPROT";"PROTOCOLO/DISTRIBUIÇÃO - MIRACEMA"
"TOMIRSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - MIRACEMA DO TOCANTINS"
"TOMNT1ECIV";"1ª Escrivania Cível de Miranorte"
"TOMNT1ECIVJ";"Juízo da 1ª Escrivania Cível de Miranorte"
"TOMNT1ECRI";"1ª Escrivania Criminal de Miranorte"
"TOMNT1ECRIJ";"Juízo da 1ª Escrivania Criminal de Miranorte"
"TOMNTCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - MIRANORTE"
"TOMNTCEMAN";"CENTRAL DE MANDADOS - MIRANORTE"
"TOMNTCONT";"CONTADORIA - MIRANORTE"
"TOMNTDIFO";"DIRETORIA FORO - MIRANORTE"
"TOMNTJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC)- MIRANORTE"
"TOMNTPLAN";"PLANTÃO DE 1ª INSTÂNCIA - MIRANORTE"
"TOMNTPROT";"PROTOCOLO/DISTRIBUIÇÃO - MIRANORTE"
"TOMNTSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - MIRANORTE"
"TONAT1ECIV";"1ª Escrivania Cível de Natividade"
"TONAT1ECIVJ";"Juízo da 1ª Escrivania Cível de Natividade"
"TONAT1ECRI";"1ª Escrivania Criminal de Natividade"
"TONAT1ECRIJ";"Juízo da 1ª Escrivania Criminal de Natividade"
"TONATCEMAN";"CENTRAL DE MANDADOS - NATIVIDADE"
"TONATCONT";"CONTADORIA - NATIVIDADE"
"TONATDIFO";"DIRETORIA FORO - NATIVIDADE"
"TONATPLAN";"PLANTÃO DE 1ª INSTÂNCIA - NATIVIDADE"
"TONATPROT";"PROTOCOLO/DISTRIBUIÇÃO - NATIVIDADE"
"TONOADIFO";"DIRETORIA FORO - NOVO ACORDO"
"TONOV1ECIV";"1ª Escrivania Cível de Novo Acordo"
"TONOV1ECIVJ";"Juízo da 1ª Escrivania Cível de Novo Acordo"
"TONOV1ECRI";"1ª Escrivania Criminal de Novo Acordo"
"TONOV1ECRIJ";"Juízo da 1ª Escrivania Criminal de Novo Acordo"
"TONOVCEMAN";"CENTRAL DE MANDADOS - NOVO ACORDO"
"TONOVCONT";"CONTADORIA - NOVO ACORDO"
"TONOVPLAN";"PLANTÃO DE 1ª INSTÂNCIA - NOVO ACORDO"
"TONOVPROT";"PROTOCOLO/DISTRIBUIÇÃO - NOVO ACORDO"
"TOPAI1ECIV";"1ª Vara Cível de Paraíso do Tocantins"
"TOPAI1ECIVJ";"Juízo da 1ª Vara Cível de Paraíso do Tocantins"
"TOPAI1ECRI";"1ª Vara Criminal de Paraíso do Tocantins"
"TOPAI1ECRIJ";"Juízo da 1ª Vara Criminal de Paraíso do Tocantins"
"TOPAI2ECIV";"2ª Vara Cível, Família e Sucessões Inf. e Juvent. de Paraíso do Tocantins"
"TOPAI2ECIVJ";"Juizo da 2ª Vara Cível, Família e Sucessões Inf. e Juvent. de Paraíso do Tocanti"
"TOPAICEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - PARAÍSO DO TOCANTINS"
"TOPAICEMAN";"CENTRAL DE MANDADOS - PARAÍSO DO TOCANTINS"
"TOPAICONT";"CONTADORIA - PARAÍSO DO TOCANTINS"
"TOPAIDIFO";"DIRETORIA FORO - PARAÍSO DO TOCANTINS"
"TOPAIGG";"GGEM - NÚCLEO PARAÍSO"
"TOPAIJECCR";"Juizado Especial Cível de Paraíso do Tocantins"
"TOPAIJECCRJ";"Juízo do Juizado Especial Cível de Paraíso do Tocantins"
"TOPAIJECRC";"Juizado Especial Criminal de Paraíso do Tocantins"
"TOPAIJECRCJ";"Juízo do Juizado Especial Criminal de Paraíso do Tocantins"
"TOPAIJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC) - PARAÍSO DO TOCANTINS"
"TOPAIPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PARAÍSO DO TOCANTINS"
"TOPAIPROT";"PROTOCOLO/DISTRIBUIÇÃO - PARAÍSO DO TOCANTINS"
"TOPAISECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - PARAÍSO DO TOCANTINS"
"TOPAL1CIV";"1ª Vara Cível de Palmas"
"TOPAL1CIVJ";"Juízo da 1ª Vara Civel de Palmas"
"TOPAL1CRI";"1ª Vara Criminal de Palmas"
"TOPAL1CRIJ";"Juizo da 1ª Vara Criminal de Palmas"
"TOPAL1FAM";"1ª Vara da Família e Sucessões de Palmas"
"TOPAL1FAMJ";"Juízo da 1ª Vara da Família e Sucessões de Palmas"
"TOPAL1FAZ";"1ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL1FAZJ";"Juízo da 1ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL2CIV";"2ª Vara Civel de Palmas"
"TOPAL2CIVJ";"Juízo da 2ª Vara Civel de Palmas"
"TOPAL2CRI";"2ª Vara Criminal de Palmas"
"TOPAL2CRIJ";"Juizo da 2ª Vara Criminal de Palmas"
"TOPAL2FAM";"2ª Vara da Família e Sucessões de Palmas"
"TOPAL2FAMJ";"Juízo da 2ª Vara da Família e Sucessões de Palmas"
"TOPAL2FAZ";"2ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL2FAZJ";"Juízo da 2ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL3CIV";"3ª Vara Cível de Palmas"
"TOPAL3CIVJ";"Juízo da 3ª Vara Civel de Palmas"
"TOPAL3CRI";"3ª Vara Criminal de Palmas"
"TOPAL3CRIJ";"Juizo da 3ª Vara Criminal de Palmas"
"TOPAL3FAM";"3ª Vara da Família e Sucessões de Palmas"
"TOPAL3FAMJ";"Juízo da 3ª Vara da Família e Sucessões de Palmas"
"TOPAL3FAZ";"3ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL3FAZJ";"Juízo da 3ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL4CIV";"4ª Vara Cível de Palmas"
"TOPAL4CIVJ";"Juízo da 4ª Vara Civel de Palmas"
"TOPAL4CRI";"4ª Vara Criminal de Palmas"
"TOPAL4CRIJ";"Juizo da 4ª Vara Criminal de Palmas"
"TOPAL4FAZ";"4ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL4FAZJ";"Juízo da 4ª Vara da Fazenda e Reg. Públicos de Palmas"
"TOPAL5CIV";"5ª Vara Cível de Palmas"
"TOPAL5CIVJ";"Juízo da 5ª Vara Civel de Palmas"
"TOPALCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - PALMAS"
"TOPALCEMA";"CENTRAL DE MANDADOS - PALMAS"
"TOPALCEMAN";"CENTRAL DE MANDADOS - PALMAS"
"TOPALCONT";"CONTADORIA - PALMAS"
"TOPALCPMA";"CEPEMA - PALMAS"
"TOPALDIFO";"DIRETORIA FORO - PALMAS"
"TOPALEXECF";"CENTRAL DE EXECUÇÕES FISCAIS - PALMAS"
"TOPALGG";"GGEM - NÚCLEO PALMAS"
"TOPALINFA";"Juizado Especial da Infância e Juventude de Palmas"
"TOPALINFAJ";"Juizo do Juizado Especial da Infância e Juventude de Palmas"
"TOPALJECIC";"Juizado Especial Cível de Palmas - CENTRAL"
"TOPALJECICJ";"Juízo do Juizado Especial Cível de Palmas - CENTRAL"
"TOPALJECINJ";"Juízo do Juizado Especial Cível de Palmas - NORTE"
"TOPALJECISJ";"Juízo do Juizado Especial Cível de Palmas - SUL"
"TOPALJECITJ";"Juízo do Juizado Especial Cível de Palmas - TAQUARALTO"
"TOPALJECN";"Juizado Especial Cível de Palmas - NORTE"
"TOPALJECRC";"Juizado Especial Criminal de Palmas - CENTRAL"
"TOPALJECRCJ";"Juízo do Juizado Especial Criminal de Palmas - CENTRAL"
"TOPALJECRN";"Juizado Especial Criminal de Palmas - NORTE"
"TOPALJECRNJ";"Juízo do Juizado Especial Criminal de Palmas - NORTE"
"TOPALJECRS";"Juizado Especial Criminal de Palmas - SUL"
"TOPALJECRSJ";"Juízo do Juizado Especial Criminal de Palmas - SUL"
"TOPALJECRT";"Juizado Especial Criminal de Palmas - TAQUARALTO"
"TOPALJECRTJ";"Juízo do Juizado Especial Criminal de Palmas - TAQUARALTO"
"TOPALJECS";"Juizado Especial Cível de Palmas - SUL"
"TOPALJECT";"Juizado Especial Cível de Palmas - TAQUARALTO"
"TOPALJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - PALMAS"
"TOPALMILI";"Vara da Justiça Militar"
"TOPALMILIJ";"Juizo da Vara da Justiça Militar"
"TOPALMULH";"Vara de Combate a Violência Domestica Contra a Mulher de Palmas"
"TOPALMULHJ";"Juizo da Vara de Combate a Violência Domestica Contra a Mulher de Palmas"
"TOPALMVIO";"EQUIPE MULTIDISCIPLINAR VIOLÊNCIA DOMÉSTICA - PALMAS"
"TOPALPPAI";"PROGRAMA PAI PRESENTE - PALMAS"
"TOPALPREC";"Vara de Precatórias de Palmas"
"TOPALPRECJ";"Juízo da Vara de Precatórias de Palmas"
"TOPALPROT";"PROTOCOLO/DISTRIBUICAO - PALMAS"
"TOPALSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - PALMAS"
"TOPALSECR";"SECRETARIA DAS VARAS CRIMINAIS DE PALMAS"
"TOPALSPSI";"EQUIPE SERVIÇO PSICOSSOCIAL FORENSE - PALMAS"
"TOPAM1ECIV";"1ª Escrivania Cível de Palmeiropolis"
"TOPAM1ECIVJ";"Juízo da 1ª Escrivania Cível de Palmeiropolis"
"TOPAM1ECRI";"1ª Escrivania Criminal de Palmeiropolis"
"TOPAM1ECRIJ";"Juízo da 1ª Escrivania Criminal de Palmeiropolis"
"TOPAMCEMAN";"CENTRAL DE MANDADOS - PALMEIROPOLIS"
"TOPAMCONT";"CONTADORIA - PALMEIROPOLIS"
"TOPAMDIFO";"DIRETORIA FORO - PALMEIROPOLIS"
"TOPAMPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PALMEIROPOLIS"
"TOPAMPROT";"PROTOCOLO/DISTRIBUIÇÃO - PALMEIROPOLIS"
"TOPAR1ECIV";"1ª Escrivania Cível de Paranã"
"TOPAR1ECIVJ";"Juízo da 1ª Escrivania Cível de Paranã"
"TOPAR1ECRI";"1ª Escrivania Criminal de Paranã"
"TOPAR1ECRIJ";"Juízo da 1ª Escrivania Criminal de Paranã"
"TOPARCEMAN";"CENTRAL DE MANDADOS - PARANÃ"
"TOPARCONT";"CONTADORIA - PARANÃ"
"TOPARDIFO";"DIRETORIA FORO - PARANÃ"
"TOPARPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PARANÃ"
"TOPARPROT";"PROTOCOLO/DISTRIBUIÇÃO - PARANÃ"
"TOPED1ECIV";"1ª Vara Cível de Pedro Afonso"
"TOPED1ECIVJ";"Juízo da 1ª Vara Cível de Pedro Afonso"
"TOPED1ECRI";"1ª Vara Criminal de Pedro Afonso"
"TOPED1ECRIJ";"Juízo da 1ª Vara Criminal de Pedro Afonso"
"TOPEDCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - PEDRO AFONSO"
"TOPEDCEMAN";"CENTRAL DE MANDADOS - PEDRO AFONSO"
"TOPEDCONT";"CONTADORIA - PEDRO AFONSO"
"TOPEDDIFO";"DIRETORIA FORO - PEDRO AFONSO"
"TOPEDJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC) - PEDRO AFONSO"
"TOPEDPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PEDRO AFONSO"
"TOPEDPROT";"PROTOCOLO/DISTRIBUIÇÃO - PEDRO AFONSO"
"TOPEDSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - PEDRO AFONSO"
"TOPEI1ECIV";"1ª Escrivania Cível de Peixe"
"TOPEI1ECIVJ";"Juízo da 1ª Escrivania Cível de Peixe"
"TOPEI1ECRI";"1ª Escrivania Criminal de Peixe"
"TOPEI1ECRIJ";"Juízo da 1ª Escrivania Criminal de Peixe"
"TOPEI2ECIV";"2ª Escrivania Cível de Peixe"
"TOPEI2ECIVJ";"Juízo da 2ª Escrivania Civel de Peixe"
"TOPEICEMAN";"CENTRAL DE MANDADOS - PEIXE"
"TOPEICONT";"CONTADORIA - PEIXE"
"TOPEIDIFO";"DIRETORIA FORO - PEIXE"
"TOPEIPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PEIXE"
"TOPEIPROT";"PROTOCOLO/DISTRIBUIÇÃO - PEIXE"
"TOPIU1ECIV";"1ª Escrivania Cível de Pium"
"TOPIU1ECIVJ";"Juízo da 1ª Escrivania Cível de Pium"
"TOPIU1ECRI";"1ª Escrivania Criminal de Pium"
"TOPIU1ECRIJ";"Juízo da 1ª Escrivania Criminal de Pium"
"TOPIUCEMAN";"CENTRAL DE MANDADOS - PIUM"
"TOPIUCONT";"CONTADORIA - PIUM"
"TOPIUDIFO";"DIRETORIA FORO - PIUM"
"TOPIUPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PIUM"
"TOPIUPROT";"PROTOCOLO/DISTRIBUIÇÃO - PIUM"
"TOPOADIFO";"DIRETORIA FORO - PONTE ALTA DO TOCANTINS"
"TOPON1ECIV";"1ª Escrivania Cível de Ponte Alta"
"TOPON1ECIVJ";"Juízo da 1ª Escrivania Cível de Ponte Alta"
"TOPON1ECRI";"1ª Escrivania Criminal de Ponte Alta"
"TOPON1ECRIJ";"Juízo da 1ª Escrivania Criminal de Ponte Alta"
"TOPONCEMAN";"CENTRAL DE MANDADOS - PONTE ALTA"
"TOPONCONT";"CONTADORIA - PONTE ALTA"
"TOPONPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PONTE ALTA"
"TOPONPROT";"PROTOCOLO/DISTRIBUIÇÃO - PONTE ALTA"
"TOPOR1ECIV";"1ª Vara Cível de Porto Nacional"
"TOPOR1ECIVJ";"Juízo da 1ª Vara Cível de Porto Nacional"
"TOPOR1ECRI";"1ª Vara Criminal de Porto Nacional"
"TOPOR1ECRIJ";"Juízo da 1ª Vara Criminal de Porto Nacional"
"TOPOR2ECIV";"2ª Vara Cível de Porto Nacional"
"TOPOR2ECIVJ";"Juízo da 2ª Vara Cível de Porto Nacional"
"TOPOR2ECRI";"2ª Vara Criminal de Porto Nacional"
"TOPOR2ECRIJ";"Juízo da 2ª Vara Criminal de Porto Nacional"
"TOPOR3ECIV";"3ª Vara Cível de Porto Nacional"
"TOPOR3ECIVJ";"Juizo da 3ª Vara Cível de Porto Nacional"
"TOPORCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - PORTO NACIONAL"
"TOPORCEMAN";"CENTRAL DE MANDADOS - PORTO NACIONAL"
"TOPORCONT";"CONTADORIA - PORTO NACIONAL"
"TOPORCPMA";"CEPEMA - PORTO NACIONAL"
"TOPORDIFO";"DIRETORIA FORO - PORTO NACIONAL"
"TOPOREXECF";"CENTRAL DE EXECUÇÕES FISCAIS - PORTO NACIONAL"
"TOPORGG";"GGEM - NÚCLEO PORTO NACIONAL"
"TOPORJECIV";"Juizado Especial Cível de Porto Nacional"
"TOPORJECIVJ";"Juizo do Juizado Especial Cível de Porto Nacional"
"TOPORJECRI";"Juizado Especial Criminal de Porto Nacional"
"TOPORJECRIJ";"Juizo do Juizado Especial Criminal de Porto Nacional"
"TOPORJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - PORTO NACIONAL"
"TOPORPLAN";"PLANTÃO DE 1ª INSTÂNCIA - PORTO NACIONAL"
"TOPORPROT";"PROTOCOLO/DISTRIBUIÇÃO - PORTO NACIONAL"
"TOPORSECCJSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA (CEJUSC) - PORTO NACIONAL"
"TOPROCON";"PROCON"
"TOTAG1ECIV";"1ª Vara Cível de Taguatinga"
"TOTAG1ECIVJ";"Juízo da 1ª Vara Cível de Taguatinga"
"TOTAG1ECRI";"1ª Vara Criminal de Taguatinga"
"TOTAG1ECRIJ";"Juízo da 1ª Vara Criminal de Taguatinga"
"TOTAG2ECIV";"Escrivania de Família Sucessões, Inf e Juventude de Taguatinga"
"TOTAG2ECIVJ";"Juízo Escrivania de Família Sucessões, Inf e Juventude de Taguatinga"
"TOTAGCEJUSC";"CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS PROCESSUAIS (CEJUSC) - TAGUATINGA"
"TOTAGCEMAN";"CENTRAL DE MANDADOS - TAGUATINGA"
"TOTAGCONT";"CONTADORIA - TAGUATINGA"
"TOTAGDIFO";"DIRETORIA FORO - TAGUATINGA"
"TOTAGJUICJSC";"JUIZO DO CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA(CEJUSC)- TAGUATINGA"
"TOTAGPLAN";"PLANTÃO DE 1ª INSTÂNCIA - TAGUATINGA"
"TOTAGPROT";"PROTOCOLO/DISTRIBUIÇÃO - TAGUATINGA"
